,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
53,Grand Gaube,MU,1589251601,-20.01,57.66,70.0,68,64,1.99
54,Koróni,GR,1589251324,36.8,21.95,66.99,87,84,9.53
55,Sept-Îles,CA,1589251602,50.2,-66.38,37.99,74,20,3.36
56,Lensk,RU,1589251602,60.73,114.93,45.7,51,92,2.48
57,Mount Isa,AU,1589251602,-20.73,139.5,78.8,29,0,6.93
58,Port Alfred,ZA,1589251602,-33.59,26.89,64.0,86,60,3.0
59,Port Elizabeth,ZA,1589251602,-33.92,25.57,64.4,77,75,9.17
60,Khatanga,RU,1589251603,71.97,102.5,25.61,98,51,7.87
61,Naze,JP,1589251603,28.37,129.48,71.6,94,75,2.24
62,Kattivākkam,IN,1589251603,13.22,80.32,89.01,74,40,3.36
63,Baykit,RU,1589251604,61.67,96.37,55.09,53,0,9.98
64,Hailar,CN,1589251604,49.2,119.7,50.45,45,68,11.72
65,Fraserburgh,GB,1589251604,57.69,-2.02,43.0,74,88,20.36
66,Hobart,AU,1589251604,-42.88,147.33,62.6,51,75,13.87
67,Cape Town,ZA,1589251594,-33.93,18.42,62.01,87,100,10.29
68,Saint George,US,1589251310,37.1,-113.58,84.2,6,1,21.92
69,San Cristobal,VE,1589251466,7.77,-72.22,68.25,92,31,2.1
70,Faya,SA,1589251605,18.39,42.45,66.2,72,0,5.82
71,Airai,TL,1589251606,-8.93,125.41,68.86,89,97,4.03
72,Porto-Novo,BJ,1589251606,6.5,2.6,78.35,84,100,4.16
73,Galesong,ID,1589251606,-5.32,119.37,87.8,66,0,2.24
74,Pochutla,MX,1589251606,15.74,-96.47,84.99,59,59,2.44
75,Kurumkan,RU,1589251607,54.3,110.3,55.56,41,95,5.01
76,Kotdwāra,IN,1589251607,29.75,78.53,88.03,33,0,3.31
77,Lompoc,US,1589251607,34.64,-120.46,59.0,87,20,8.05
78,Maltahöhe,NA,1589251607,-24.83,16.98,56.62,50,0,0.58
79,Kaeo,NZ,1589251608,-35.1,173.78,63.0,7,98,8.99
80,Murray Bridge,AU,1589251608,-35.12,139.27,63.0,56,64,5.99
81,Paita,PE,1589251608,-5.09,-81.11,71.13,81,25,9.8
82,Punta Arenas,CL,1589251497,-53.15,-70.92,35.6,80,0,11.41
83,Chegdomyn,RU,1589251609,51.12,133.02,40.44,90,100,2.48
84,Kokkola,FI,1589251609,63.84,23.13,36.0,89,0,4.7
85,Hay River,CA,1589251609,60.82,-115.8,59.0,24,40,10.29
86,Santa Isabel,BR,1589251609,-23.32,-46.22,59.0,87,0,2.24
87,Arraial do Cabo,BR,1589251610,-22.97,-42.03,71.76,80,0,22.62
88,Pisco,PE,1589251610,-13.7,-76.22,66.2,82,0,12.75
89,Hermanus,ZA,1589251610,-34.42,19.23,57.99,90,97,8.81
90,Poum,NC,1589251611,-20.23,164.02,74.98,73,0,20.98
91,Barrow,US,1589251611,71.29,-156.79,28.4,92,90,24.16
92,Clyde River,CA,1589251609,70.47,-68.59,12.2,92,90,6.93
93,Gizo Government Station,SB,1589251611,-8.1,156.84,83.7,77,89,15.66
94,Albany,US,1589251611,42.6,-73.97,41.0,66,75,11.23
95,Norman Wells,CA,1589251612,65.28,-126.83,57.2,41,40,13.87
96,Pimenta Bueno,BR,1589251612,-11.67,-61.19,73.17,94,58,1.39
97,Aykhal,RU,1589251612,66.0,111.5,24.8,68,90,6.71
98,Halifax,CA,1589251535,44.65,-63.57,46.0,63,97,5.77
99,Castro,BR,1589251613,-24.79,-50.01,57.07,92,0,5.17
100,Usinsk,RU,1589251613,65.99,57.53,52.11,80,36,16.78
101,Ambilobe,MG,1589251613,-13.2,49.05,67.93,80,12,4.0
102,Sitka,US,1589251613,57.05,-135.33,59.0,58,75,5.82
103,Luganville,VU,1589251614,-15.53,167.17,84.2,66,40,6.93
104,Bathsheba,BB,1589251614,13.22,-59.52,80.6,78,40,23.04
105,Abu Dhabi,AE,1589251394,24.47,54.37,86.0,48,0,16.11
106,Sapulpa,US,1589251614,36.0,-96.11,51.8,71,90,12.75
107,Dikson,RU,1589251614,73.51,80.55,31.32,98,67,4.99
108,Takoradze,GH,1589251615,4.88,-1.76,77.67,88,95,8.1
109,Vaini,TO,1589251598,-21.2,-175.2,80.6,69,20,8.05
110,Lázaro Cárdenas,MX,1589251615,17.96,-102.2,76.01,74,0,5.01
111,Mahajanga,MG,1589251615,-15.72,46.32,73.4,78,20,4.7
112,Kamyshevatskaya,RU,1589251615,46.41,37.96,57.88,72,0,15.7
113,Praia da Vitória,PT,1589251616,38.73,-27.07,59.0,93,75,6.08
114,Senador José Porfírio,BR,1589251616,-2.59,-51.95,74.89,94,96,2.35
115,Svatove,UA,1589251616,49.41,38.15,54.66,70,67,11.12
116,Omsukchan,RU,1589251616,62.53,155.8,33.84,91,78,6.78
117,Port Shepstone,ZA,1589251617,-30.74,30.45,65.25,75,15,10.87
118,Rafai,CF,1589251617,4.95,23.92,68.34,99,100,3.58
119,Cockburn Town,TC,1589251617,21.46,-71.14,80.47,84,61,15.75
120,Bredasdorp,ZA,1589251617,-34.53,20.04,60.8,87,100,1.12
121,Vila Velha,BR,1589251617,-20.33,-40.29,66.99,100,0,2.24
122,Maniitsoq,GL,1589251618,65.42,-52.9,40.53,83,100,2.55
123,Port-Gentil,GA,1589251618,-0.72,8.78,81.18,74,9,5.99
124,Kisangani,CD,1589251618,0.52,25.2,71.06,97,100,1.3
125,Ahipara,NZ,1589251618,-35.17,173.17,63.97,66,88,11.5
126,Tura,IN,1589251618,25.52,90.22,91.69,30,0,2.3
127,Natal,BR,1589251616,-5.79,-35.21,73.4,94,20,4.7
128,Nantucket,US,1589251509,41.28,-70.1,48.2,93,20,12.75
129,Tasiilaq,GL,1589251619,65.61,-37.64,28.4,74,64,1.12
130,Antalaha,MG,1589251619,-14.9,50.28,71.22,76,94,6.91
131,Erenhot,CN,1589251619,43.65,111.98,58.06,29,15,11.23
132,Ponta do Sol,PT,1589251611,32.67,-17.1,64.4,63,20,10.29
133,Rochegda,RU,1589251620,62.8,43.25,51.75,71,93,13.33
134,Praia,CV,1589251620,14.92,-23.51,71.6,78,20,13.87
135,Zhicheng,CN,1589251620,30.3,111.5,80.01,47,100,0.4
136,Okhotsk,RU,1589251620,59.38,143.3,39.45,72,100,12.33
137,Samarai,PG,1589251621,-10.62,150.67,79.45,80,79,16.98
138,Yatou,CN,1589251621,37.15,122.38,62.47,41,0,20.15
139,Kampong Thom,KH,1589251621,12.71,104.89,95.36,50,95,2.33
140,Cidreira,BR,1589251622,-30.18,-50.21,68.47,86,96,4.63
141,Palana,RU,1589251622,59.12,159.97,32.85,96,14,5.46
142,Lasem,ID,1589251622,-6.69,111.45,85.84,70,5,8.25
143,Kaitangata,NZ,1589251622,-46.28,169.85,55.0,67,100,1.99
144,Cayenne,GF,1589251408,4.93,-52.33,75.2,100,100,3.36
145,Leiyang,CN,1589251623,26.4,112.86,77.04,48,0,5.41
146,Lumby,CA,1589251623,50.25,-118.97,68.0,32,1,27.51
147,Kruisfontein,ZA,1589251624,-34.0,24.73,61.52,76,100,3.69
148,Okato,NZ,1589251624,-39.2,173.88,61.0,61,99,7.0
149,Mar del Plata,AR,1589251347,-38.0,-57.56,50.0,93,15,4.7
150,Itoman,JP,1589251624,26.12,127.67,77.0,100,75,11.41
151,Hong Kong,HK,1589251363,22.29,114.16,81.0,80,99,4.0
152,Haines Junction,CA,1589251625,60.75,-137.51,63.7,30,0,5.95
153,Adrar,MR,1589251625,20.5,-10.07,81.9,16,0,13.11
154,Chicontepec,MX,1589251625,20.97,-98.17,68.52,99,50,5.39
155,Nuevo Progreso,MX,1589251626,23.17,-97.95,77.0,67,5,7.25
156,Haikou,CN,1589251626,20.05,110.34,86.0,79,20,8.95
157,Belyy Yar,RU,1589251626,53.6,91.39,64.4,45,100,2.24
158,Codrington,AU,1589251626,-38.27,141.97,61.72,58,99,17.81
159,Fortuna,US,1589251626,40.6,-124.16,62.01,62,90,17.22
160,Padang,ID,1589251627,-0.95,100.35,87.22,57,100,2.33
161,Saldanha,ZA,1589251627,-33.01,17.94,59.0,87,100,6.93
162,Avarua,CK,1589251627,-21.21,-159.78,82.4,88,1,6.93
163,Namatanai,PG,1589251627,-3.67,152.43,86.31,70,99,4.56
164,Vanderhoof,CA,1589251628,54.02,-124.02,55.29,40,0,3.18
165,Lábrea,BR,1589251427,-7.26,-64.8,74.53,95,79,2.08
166,Sinnamary,GF,1589251628,5.38,-52.95,78.33,83,100,12.57
167,Bogandinskiy,RU,1589251628,56.89,65.89,66.2,59,87,6.71
168,Vestmannaeyjar,IS,1589251628,63.44,-20.27,43.95,83,83,13.49
169,Kupang,ID,1589251629,-10.17,123.58,89.6,55,40,17.22
170,Marawi,PH,1589251629,8.0,124.29,84.99,82,99,5.01
171,Kajaani,FI,1589251629,64.23,27.73,28.4,92,24,6.93
172,Solnechnyy,RU,1589251629,50.72,136.63,56.86,45,99,13.47
173,Synya,RU,1589251630,65.37,58.04,52.81,78,86,10.42
174,Isangel,VU,1589251630,-19.55,169.27,80.6,65,20,5.82
175,Boppard,DE,1589251630,50.23,7.59,37.0,69,0,2.51
176,Virginia Beach,US,1589251521,36.85,-75.98,57.99,47,75,16.11
177,Ketchikan,US,1589251631,55.34,-131.65,71.6,18,1,11.41
178,Nālūt,LY,1589251631,30.33,10.85,75.0,35,78,11.03
179,Baharly,TM,1589251631,38.44,57.43,64.27,55,94,8.75
180,Altamira,BR,1589251384,-3.2,-52.21,73.62,96,100,1.79
181,Guerrero Negro,MX,1589251632,27.98,-114.06,63.01,81,0,14.9
182,Vidim,RU,1589251632,56.41,103.11,58.57,52,100,6.17
183,Maïné Soroa,NE,1589251632,13.21,12.02,81.25,13,51,7.2
184,Morgan City,US,1589251633,29.7,-91.21,69.8,82,1,4.61
185,Sotik Post,KE,1589251633,-0.78,35.34,55.45,97,71,3.67
186,Bengkulu,ID,1589251634,-3.8,102.27,87.04,62,3,4.79
187,Kushiro,JP,1589251634,42.98,144.37,55.4,71,75,8.05
188,Ayr,GB,1589251634,55.46,-4.63,42.8,81,40,5.82
189,Tambopata,PE,1589251634,-12.73,-69.18,74.86,80,14,0.54
190,Palembang,ID,1589251452,-2.92,104.75,84.2,83,40,9.17
191,Orán,AR,1589251635,-23.13,-64.33,69.01,74,46,1.41
192,Saint-Pierre,RE,1589251635,-21.34,55.48,68.0,60,90,4.7
193,Aswān,EG,1589251635,24.09,32.91,74.01,20,42,8.77
194,Borogontsy,RU,1589251635,62.67,131.17,45.66,57,100,5.3
195,Ust-Nera,RU,1589251636,64.57,143.2,36.25,83,100,3.94
196,Saint Anthony,US,1589251636,45.02,-93.22,48.2,28,1,4.7
197,Ribeira Grande,PT,1589251604,38.52,-28.7,60.35,78,100,24.0
198,Torbay,CA,1589251636,47.67,-52.73,37.99,93,5,11.41
199,Hithadhoo,MV,1589251636,-0.6,73.08,83.46,77,100,22.48
200,Rognan,NO,1589251636,67.1,15.39,32.0,95,90,5.91
201,Yerbogachën,RU,1589251637,61.28,108.01,41.45,67,100,8.46
202,Juneau,US,1589251501,58.3,-134.42,69.8,19,20,9.17
203,Souillac,MU,1589251637,-20.52,57.52,73.4,56,40,6.93
204,Darasun,RU,1589251637,51.67,114.0,50.0,25,40,6.71
205,Nioro,GM,1589251638,13.35,-15.75,70.81,79,83,6.93
206,Yarim,YE,1589251638,14.3,44.38,57.78,58,0,1.95
207,Beisfjord,NO,1589251600,68.38,17.6,27.0,85,100,5.99
208,Ridgecrest,US,1589251480,35.62,-117.67,79.0,9,1,29.97
209,Laguna,US,1589251638,38.42,-121.42,64.4,72,90,18.34
210,Hamilton,US,1589251625,39.18,-84.53,46.0,65,90,3.36
211,Lebu,CL,1589251639,-37.62,-73.65,51.64,85,61,11.21
212,Geraldton,AU,1589251639,-28.77,114.6,75.2,29,85,10.29
213,Kalmunai,LK,1589251639,7.42,81.82,84.65,76,71,4.25
214,Vila Franca do Campo,PT,1589251640,37.72,-25.43,59.0,82,20,5.82
215,Baruun-Urt,MN,1589251640,46.68,113.28,55.62,33,14,13.76
216,Tautira,PF,1589251640,-17.73,-149.15,86.0,70,17,11.41
217,Springfield,US,1589251368,37.22,-93.3,44.01,87,90,5.82
218,Gwalior,IN,1589251628,26.22,78.18,99.5,14,44,7.81
219,Paraná,AR,1589251432,-31.73,-60.52,54.0,74,21,10.09
220,Siocon,PH,1589251641,7.71,122.14,87.21,68,92,3.51
221,Ixtapa,MX,1589251641,20.7,-105.2,77.0,88,5,3.36
222,Dongzhen,CN,1589251642,22.38,110.94,78.94,83,96,1.61
223,Portland,US,1589251331,45.52,-122.68,55.99,82,90,5.35
224,Blackwater,AU,1589251642,-23.58,148.88,74.97,34,3,11.9
225,Yzeure,FR,1589251642,46.56,3.35,39.2,80,97,4.7
226,Belmonte,BR,1589251642,-15.86,-38.88,71.6,88,75,5.82
227,Yangi Marg`ilon,UZ,1589251643,40.43,71.72,73.4,33,41,2.24
228,Katsuura,JP,1589251643,35.13,140.3,73.4,78,75,6.93
229,Goba,ET,1589251643,7.02,39.98,49.37,85,30,4.9
230,Villa Unión,MX,1589251643,23.2,-106.23,77.0,73,5,0.76
231,Whitianga,NZ,1589251644,-36.83,175.7,66.0,73,100,8.01
232,Tiksi,RU,1589251644,71.69,128.87,31.51,99,100,9.22
233,Hambantota,LK,1589251644,6.12,81.12,83.52,76,48,4.88
234,Mount Gambier,AU,1589251644,-37.83,140.77,60.8,63,87,18.34
235,Hidalgotitlán,MX,1589251645,17.78,-94.63,77.5,80,0,9.01
236,Guarapari,BR,1589251645,-20.67,-40.5,66.99,100,0,2.24
237,Yulara,AU,1589251645,-25.24,130.99,66.2,24,0,5.82
238,Salalah,OM,1589251516,17.02,54.09,82.4,88,40,1.12
239,Bambari,CF,1589251645,5.77,20.68,71.28,89,100,5.14
240,Carnarvon,AU,1589251646,-24.87,113.63,79.25,40,0,5.35
241,Requena,ES,1589251646,39.49,-1.1,51.01,91,100,4.52
242,Narón,ES,1589251646,43.52,-8.15,57.99,93,90,2.24
243,Khorramabad,IR,1589251646,33.49,48.36,57.96,47,0,1.97
244,Mulegé,MX,1589251647,26.88,-111.98,75.31,47,0,4.65
245,Arlit,NE,1589251647,18.74,7.39,84.34,13,0,8.61
246,Alpena,US,1589251647,45.06,-83.43,35.6,31,1,3.36
247,Jumla,NP,1589251647,29.27,82.18,59.68,48,5,3.53
248,Cherskiy,RU,1589251647,68.75,161.3,45.55,56,0,20.56
249,Corral Nuevo,MX,1589251648,18.11,-95.12,77.72,73,28,4.09
250,Labuhan,ID,1589251648,-6.88,112.21,84.94,74,14,7.92
251,San Quintín,MX,1589251648,30.48,-115.95,63.14,81,0,15.43
252,Ashtabula,US,1589251649,41.7,-80.77,39.2,80,90,4.7
253,Conceição do Araguaia,BR,1589251649,-8.26,-49.26,73.29,86,60,1.68
254,Kavaratti,IN,1589251649,10.57,72.64,86.14,73,100,9.66
255,Aklavik,CA,1589251649,68.22,-135.01,32.0,97,90,12.75
256,Safford,US,1589251649,32.83,-109.71,87.8,11,1,19.46
257,Flinders,AU,1589251650,-34.58,150.86,70.0,48,41,8.99
258,Nikolskoye,RU,1589251650,59.7,30.79,37.4,69,75,13.42
259,Kifrī,IQ,1589251650,34.7,44.97,70.05,27,0,4.56
260,Shingū,JP,1589251650,33.73,135.98,71.6,78,75,10.29
261,Constitución,CL,1589251651,-35.33,-72.42,52.97,62,52,7.76
262,Merrill,US,1589251651,45.18,-89.68,44.6,37,1,3.38
263,Novy Urengoy,RU,1589251651,66.08,76.63,34.38,89,100,13.31
264,Bud,US,1589251651,39.45,-86.18,45.0,83,14,4.09
265,Lorengau,PG,1589251652,-2.02,147.27,85.77,73,96,5.7
266,Kampot,KH,1589251652,10.62,104.18,89.6,66,20,2.24
267,Scarborough,GB,1589251529,54.28,-0.4,39.0,67,25,1.99
268,Yārāda,IN,1589251652,17.65,83.27,84.2,89,40,2.24
269,Te Anau,NZ,1589251653,-45.42,167.72,53.19,62,49,1.25
270,Los Llanos de Aridane,ES,1589251621,28.66,-17.92,66.2,59,40,3.36
271,Gushikawa,JP,1589251653,26.35,127.87,77.0,100,90,18.34
272,Hualmay,PE,1589251653,-11.1,-77.61,67.1,84,45,10.16
273,Nishihara,JP,1589251654,26.18,127.76,77.0,94,90,12.75
274,Ubari,LY,1589251654,26.59,12.78,82.18,15,3,11.72
275,Lahad Datu,MY,1589251654,5.03,118.33,84.85,81,100,3.24
276,Sangīn,AF,1589251654,32.07,64.84,86.31,13,100,6.71
277,Klaksvík,FO,1589251655,62.23,-6.59,33.8,86,100,17.22
278,Eureka,US,1589251464,40.8,-124.16,64.0,57,75,7.0
279,Honiara,SB,1589251655,-9.43,159.95,89.6,66,40,14.99
280,Tutóia,BR,1589251655,-2.76,-42.27,77.36,88,21,5.93
281,Cleburne,US,1589251438,32.35,-97.39,71.6,53,1,9.17
282,Lüderitz,NA,1589251656,-26.65,15.16,60.8,77,9,3.36
283,La Seyne-sur-Mer,FR,1589251656,43.1,5.88,59.0,92,76,3.0
284,Berkåk,NO,1589251656,62.83,10.01,32.0,91,100,3.04
285,Bethel,US,1589251626,41.37,-73.41,48.2,66,90,6.93
286,Chimoré,BO,1589251429,-16.98,-65.13,73.58,86,100,2.62
287,Saskylakh,RU,1589251657,71.92,114.08,24.67,96,100,16.67
288,Vangaindrano,MG,1589251658,-23.35,47.6,65.82,91,18,5.21
289,Candelaria,PH,1589251658,13.93,121.42,87.01,73,25,5.01
290,Camocim,BR,1589251658,-2.9,-40.84,76.91,89,39,7.63
291,Tual,ID,1589251658,-5.67,132.75,82.98,81,27,19.82
292,Esperance,AU,1589251658,-33.87,121.9,60.8,72,90,3.36
293,Waipawa,NZ,1589251652,-41.41,175.52,64.4,59,98,9.17
294,Dolores,AR,1589251659,-36.31,-57.68,47.88,76,64,2.91
295,San Angelo,US,1589251635,31.46,-100.44,75.99,58,100,1.99
296,Broken Hill,AU,1589251644,-31.95,141.43,62.6,33,43,12.75
297,Gashua,NG,1589251659,12.87,11.05,83.77,13,96,7.78
298,Havelock,US,1589251659,34.88,-76.9,59.0,47,0,9.13
299,Inhambane,MZ,1589251659,-23.86,35.38,65.12,78,0,3.18
300,Mitsamiouli,KM,1589251660,-11.38,43.28,80.37,75,67,4.38
301,Kenai,US,1589251660,60.55,-151.26,48.2,70,20,14.99
302,Mawlaik,MM,1589251661,23.63,94.42,93.38,39,100,2.68
303,Hasaki,JP,1589251613,35.73,140.83,75.0,78,75,12.75
304,Bandarbeyla,SO,1589251642,9.49,50.81,81.86,76,77,11.03
305,Cairns,AU,1589251661,-16.92,145.77,82.4,61,45,17.22
306,Mangai,CD,1589251661,-4.05,19.53,71.49,95,100,0.43
307,Nemuro,JP,1589251662,43.32,145.57,66.2,55,75,6.93
308,Strezhevoy,RU,1589251662,60.73,77.59,64.4,59,100,4.47
309,Ancud,CL,1589251611,-41.87,-73.82,48.0,100,20,3.36
310,Post Falls,US,1589251662,47.72,-116.95,62.6,33,20,10.29
311,Atocha,BO,1589251662,-20.93,-66.23,41.86,54,0,12.24
312,Bitung,ID,1589251663,1.45,125.18,91.4,52,20,5.82
313,Sangar,RU,1589251663,63.92,127.47,37.4,79,90,8.61
314,Zhigansk,RU,1589251663,66.77,123.37,29.62,96,100,15.12
315,Hobyo,SO,1589251664,5.35,48.53,83.17,79,72,15.39
316,Madison,US,1589251419,34.73,-86.57,54.0,66,1,3.36
317,Muros,ES,1589251664,42.78,-9.06,57.99,84,72,1.01
318,Miraflores,MX,1589251664,19.22,-98.81,64.4,63,75,5.82
319,Kutum,SD,1589251664,14.2,24.67,64.76,25,4,2.68
320,Olafsvik,IS,1589251665,64.89,-23.71,39.07,80,66,10.94
321,Mexico,PH,1589251665,15.06,120.72,89.6,62,40,4.7
322,Port Augusta,AU,1589251611,-32.5,137.77,66.2,29,79,19.46
323,Pringsewu,ID,1589251666,-5.36,104.97,88.09,65,11,2.68
324,Cabo San Lucas,MX,1589251473,22.89,-109.91,75.2,44,5,9.17
325,La Rioja,ES,1589251666,42.25,-2.5,51.8,87,3,2.24
326,Nelson Bay,AU,1589251666,-32.72,152.15,68.0,52,27,4.7
327,Avera,US,1589251666,33.19,-82.53,57.2,47,1,3.36
328,Kenora,CA,1589251667,49.82,-94.43,39.2,29,20,6.93
329,Asău,RO,1589251667,46.43,26.4,54.0,78,31,7.49
330,Lębork,PL,1589251667,54.54,17.75,37.99,86,51,6.93
331,La Libertad,EC,1589251667,-2.23,-80.9,74.5,86,25,12.01
332,Kudeyevskiy,RU,1589251668,54.88,56.76,53.6,93,90,8.95
333,Tamiahua,MX,1589251668,21.27,-97.45,76.87,82,3,9.01
334,Narsaq,GL,1589251622,60.92,-46.05,51.8,29,100,31.09
335,Sorong,ID,1589251668,-0.88,131.25,85.62,70,0,4.27
336,Scottsbluff,US,1589251528,41.87,-103.67,37.4,93,90,16.11
337,Caravelas,BR,1589251669,-17.71,-39.25,71.42,75,0,3.89
338,Severo-Kuril'sk,RU,1589251653,50.68,156.12,37.04,81,49,13.85
339,Sa Kaeo,TH,1589251670,13.81,102.07,89.67,56,67,3.38
340,Adeje,ES,1589251670,28.12,-16.73,68.0,68,75,8.05
341,Wau,SS,1589251670,7.7,28.0,74.19,87,100,6.64
342,Jacareacanga,BR,1589251670,-6.22,-57.75,73.83,95,93,1.23
343,George Town,MY,1589251514,5.41,100.34,86.0,83,20,4.7
344,Komatipoort,ZA,1589251671,-25.43,31.95,55.99,88,0,1.95
345,Charters Towers,AU,1589251671,-20.1,146.27,78.46,41,0,13.85
346,Rawson,AR,1589251671,-43.3,-65.1,52.47,46,0,14.38
347,Dwārka,IN,1589251672,22.24,68.97,83.07,79,25,11.83
348,Normandin,CA,1589251382,48.83,-72.53,26.6,49,20,4.7
349,Constantine,DZ,1589251671,36.37,6.61,50.0,81,8,2.24
350,Channel-Port aux Basques,CA,1589251672,47.57,-59.14,34.7,87,0,4.7
351,Taucha,DE,1589251673,51.38,12.48,34.0,86,0,6.93
352,Pomoriany,UA,1589251673,49.64,24.93,55.99,52,53,13.85
353,Atar,MR,1589251457,20.52,-13.05,79.92,18,0,10.71
354,Ugoofaaru,MV,1589251674,5.67,73.0,84.33,68,97,3.42
355,Saint-Philippe,RE,1589251632,-21.36,55.77,71.6,60,90,4.7
356,Coahuayana Viejo,MX,1589251674,18.73,-103.68,72.86,77,0,1.14
357,Huarmey,PE,1589251674,-10.07,-78.15,67.84,85,53,10.29
358,Areosa,PT,1589251674,41.72,-8.86,63.0,93,40,3.36
359,Barysh,RU,1589251675,53.66,47.11,50.7,82,0,3.24
360,Bambous Virieux,MU,1589251675,-20.34,57.76,73.4,56,40,6.93
361,São Filipe,CV,1589251675,14.9,-24.5,72.27,80,5,9.17
362,Paka,MY,1589251675,4.64,103.44,84.2,89,40,1.14
363,Port Lincoln,AU,1589251676,-34.73,135.87,65.12,59,1,17.72
364,Malanje,AO,1589251676,-9.54,16.34,61.57,77,58,3.02
365,Taltal,CL,1589251676,-25.4,-70.48,55.99,81,30,2.21
366,Dunedin,NZ,1589251676,-45.87,170.5,54.52,64,100,1.97
367,Porto Belo,BR,1589251479,-27.16,-48.55,64.99,93,0,5.82
368,Leningradskiy,RU,1589251677,69.38,178.42,35.29,95,2,5.23
369,Erzin,TR,1589251677,36.96,36.2,61.0,90,0,0.72
370,Luanda,AO,1589251448,-8.84,13.23,80.6,83,75,6.93
371,Pangnirtung,CA,1589251677,66.15,-65.71,26.17,88,1,14.23
372,Vardø,NO,1589251678,70.37,31.11,33.8,86,75,9.17
373,Chapais,CA,1589251411,49.78,-74.85,21.2,53,20,4.7
